Symbol,Time
MES,2021-08-24T21:35:51.559695Z
MNQ,2021-08-24T21:34:51.889534Z
IWM,2021-08-23T23:18:18.532589Z
SPY,2021-08-23T23:17:06.566930Z
QQQ,2021-08-23T23:16:01.054147Z
ARKX,2021-08-23T23:14:24.794066Z
ARKF,2021-08-23T23:13:12.565148Z
ARKK,2021-08-23T23:12:01.275969Z
M2K,2021-08-23T23:10:49.068625Z
MES,2021-08-23T23:09:48.574579Z
MNQ,2021-08-23T23:08:48.896687Z
IWM,2021-08-21T00:14:50.254915Z
SPY,2021-08-21T00:13:39.059322Z
QQQ,2021-08-21T00:12:14.300632Z
ARKX,2021-08-21T00:10:50.324537Z
ARKF,2021-08-21T00:09:38.567877Z
ARKK,2021-08-21T00:08:20.653036Z
M2K,2021-08-21T00:06:51.928143Z
MES,2021-08-21T00:04:56.930508Z
MNQ,2021-08-21T00:03:08.854158Z
M2K,2021-08-20T22:29:37.925235Z
MES,2021-08-20T22:27:43.523838Z
MNQ,2021-08-20T22:25:55.586483Z
IWM,2021-08-20T00:09:08.669334Z
SPY,2021-08-20T00:08:27.017282Z
QQQ,2021-08-20T00:07:44.892961Z
ARKX,2021-08-20T00:07:26.743658Z
ARKF,2021-08-20T00:06:32.636029Z
ARKK,2021-08-20T00:05:45.066884Z
M2K,2021-08-20T00:05:27.324306Z
MES,2021-08-20T00:04:27.267388Z
MNQ,2021-08-20T00:03:28.744096Z
IWM,2021-08-18T21:48:12.898600Z
SPY,2021-08-18T21:46:18.907962Z
QQQ,2021-08-18T21:44:38.064080Z
ARKX,2021-08-18T21:43:01.069482Z
ARKF,2021-08-18T21:41:00.733055Z
ARKK,2021-08-18T21:39:06.851862Z
M2K,2021-08-18T21:37:13.119088Z
MES,2021-08-18T21:35:19.190888Z
MNQ,2021-08-18T21:33:25.238884Z
ARKF,2021-08-18T21:25:06.038688Z
ARKK,2021-08-18T21:23:48.431901Z
M2K,2021-08-18T21:22:24.231243Z
MES,2021-08-18T21:21:30.142664Z
MNQ,2021-08-18T21:20:47.875871Z
IWM,2021-08-18T16:37:00.887059Z
SPY,2021-08-18T16:35:25.023542Z
QQQ,2021-08-18T16:33:49.184997Z
ARKX,2021-08-18T16:32:00.939018Z
ARKF,2021-08-18T16:30:36.646521Z
ARKK,2021-08-18T16:28:54.814945Z
M2K,2021-08-18T16:27:07.002976Z
MES,2021-08-18T16:25:49.107532Z
MNQ,2021-08-18T16:24:00.615477Z
IWM,2021-08-18T16:13:29.404565Z
SPY,2021-08-18T16:12:38.352171Z
QQQ,2021-08-18T16:11:28.730476Z
ARKX,2021-08-18T16:10:33.970230Z
ARKF,2021-08-18T16:09:32.923576Z
ARKK,2021-08-18T16:08:28.404330Z
M2K,2021-08-18T16:07:28.349949Z
MES,2021-08-18T16:06:40.293995Z
MNQ,2021-08-18T16:05:51.677399Z
IWM,2021-08-16T21:29:54.490769Z
SPY,2021-08-16T21:28:30.814316Z
QQQ,2021-08-16T21:27:19.008168Z
ARKX,2021-08-16T21:26:12.662138Z
ARKF,2021-08-16T21:25:06.582028Z
ARKK,2021-08-16T21:23:55.091096Z
M2K,2021-08-16T21:22:30.605058Z
MES,2021-08-16T21:21:36.570669Z
MNQ,2021-08-16T21:20:48.843117Z
IWM,2021-08-13T21:47:36.435027Z
SPY,2021-08-13T21:46:24.166136Z
QQQ,2021-08-13T21:45:18.349014Z
ARKX,2021-08-13T21:44:12.247277Z
ARKF,2021-08-13T21:43:12.156982Z
ARKK,2021-08-13T21:41:36.187011Z
M2K,2021-08-13T21:40:24.797153Z
MES,2021-08-13T21:38:30.899695Z
MNQ,2021-08-13T21:36:48.264556Z
IWM,2021-08-13T00:18:57.125716Z
SPY,2021-08-13T00:18:03.106463Z
QQQ,2021-08-13T00:17:15.271179Z
ARKX,2021-08-13T00:16:57.092203Z
ARKF,2021-08-13T00:16:03.121322Z
ARKK,2021-08-13T00:15:20.894807Z
M2K,2021-08-13T00:14:57.380516Z
MES,2021-08-13T00:13:57.620632Z
MNQ,2021-08-13T00:12:57.610176Z
IWM,2021-08-11T21:29:48.091582Z
SPY,2021-08-11T21:28:24.140120Z
QQQ,2021-08-11T21:27:18.288566Z
ARKX,2021-08-11T21:26:12.252846Z
ARKF,2021-08-11T21:25:06.155653Z
ARKK,2021-08-11T21:23:48.421723Z
M2K,2021-08-11T21:22:24.187312Z
MES,2021-08-11T21:21:30.622959Z
MNQ,2021-08-11T21:20:42.154273Z
IWM,2021-08-10T22:07:54.298962Z
SPY,2021-08-10T22:06:42.392613Z
QQQ,2021-08-10T22:05:12.402159Z
ARKX,2021-08-10T22:04:06.173912Z
ARKF,2021-08-10T22:02:54.220224Z
ARKK,2021-08-10T22:01:54.498743Z
M2K,2021-08-10T22:00:18.453450Z
MES,2021-08-10T21:59:18.197979Z
MNQ,2021-08-10T21:58:30.620306Z
IWM,2021-08-09T21:30:30.984832Z
SPY,2021-08-09T21:29:06.706067Z
QQQ,2021-08-09T21:28:00.860384Z
ARKX,2021-08-09T21:26:54.611477Z
ARKF,2021-08-09T21:25:48.702876Z
ARKK,2021-08-09T21:24:31.137702Z
M2K,2021-08-09T21:23:06.862081Z
MES,2021-08-09T21:22:12.724540Z
MNQ,2021-08-09T21:21:45.256692Z
IWM,2021-08-06T22:25:10.503160Z
SPY,2021-08-06T22:23:34.888048Z
QQQ,2021-08-06T22:22:22.802018Z
ARKX,2021-08-06T22:21:16.576859Z
ARKF,2021-08-06T22:20:10.514994Z
ARKK,2021-08-06T22:18:40.463860Z
M2K,2021-08-06T22:17:23.384033Z
MES,2021-08-06T22:15:29.297038Z
MNQ,2021-08-06T22:13:41.105526Z
IWM,2021-08-05T21:29:47.750329Z
SPY,2021-08-05T21:28:23.663437Z
QQQ,2021-08-05T21:27:17.659078Z
ARKX,2021-08-05T21:26:11.395802Z
ARKF,2021-08-05T21:25:05.368301Z
ARKK,2021-08-05T21:23:47.609197Z
M2K,2021-08-05T21:22:23.827886Z
MES,2021-08-05T21:21:29.675232Z
MNQ,2021-08-05T21:20:47.211358Z
